COMPANY,FISCAL_YEAR,STATE,ASSETS_MILLIONS,LIABILITIES__MILLIONS,COURT_DISTRICT
"Ad Systems Communications, Inc.",2011,NV,405.0,4.0,D
Alphatrade.com,2011,NV,686.0,4.0,D
AMBAC Financial Group,2011,NY,395.0,1683.0,SD
"Ambassdors International , Inc.",2011,DE,86.44,87.32,D
American Pacific Financial Corporation,2011,NV,19.18,161.08,D
AmericanWest Bancorporation,2011,WA,1536.18,1537.97,ED
Angiotech Pharmaceuticals,2011,DE,326.01,622.0,D
"Best Energy Services, Inc. et al.",2011,TX,20.72,30.58,D
Blockbuster Inc.,2011,NY,1017.04,1464.94,SD
Borders Group Inc.,2011,NY,1275.43,1293.11,SD
"Cardima, Inc.",2011,CA ,650.76,1.02,ND
CDC Corporation,2011,GA,377.38,250.18,ND
"Commonwealth Biotechnologies, Inc.",2011,VA,9.8,4.9,ED
Composite Technology Corporation,2011,CA,5.86,12.4,CD
"Constar International, Inc.",2011,DE,418.0,414.0,D
Credit Based Asset Serviceing and Securitization LLC,2011,NY,10.0,170.0,SD
"Desert Capital REIT, Inc.",2011,NV,19.84,40.22,D
"DigitalPost Interactive, Inc.",2011,CA,310.77,2.35,CD
"Evergreen Solar, Inc.",2011,DE,424.0,486.0,D
Gagle's Inc.,2011,GA,92.0,63.0,ND
"Geopharma, Inc.",2011,DFL,37.0,34.0,MD
"GSC Group, Inc.",2011,NY,119.79,313.56,SD
"Gulfstream International Group, Inc.",2011,FL,13.6,26.0,SD
"Harry & David Holdings, Inc.",2011,DE,304.0,361.0,D
"HearUSA, Inc.",2011,FL,66.0,65.0,SD
"ICOP Digital, Inc.",2011,KS,6.7,4.36,D
"Iron Mining Group, Inc.",2011,NY,1.75,6.26,SD
Jackson Hewitt Tax Service Inc.,2011,DE,388.0,444.0,D
JAVO Beverage Company Inc.,2011,DE,14.66,26.71,D
"Kentucky USA Energy, Inc. et al.",2011,KY,9.76,10.19,WD
"Local Insight Media Holdings, Inc., Caribe Media",2011,DE,500.0,558.0,D
LocatePLUS Holdings Corp.,2011,MA,2.08,10.47,D
Majestic Capital Ltd,2011,NY,436.19,421.76,SD
MF Global Holdings LTD,2011,NY,41000.0,39700.0,SD
"Molecular Insight Pharmaceuticals, Inc.",2011,MA,36.45,198.83,ED
"Omega Navigation Enterprises, Inc. et al.",2011,TX,527.0,360.0,SD
"Plam Harbor Homes,Inc.",2011,DE,321.26,280.34,D
"Public Media Works, Inc.",2011,CA,873.25,1.14,CD
"QA3 Financial, Corp.",2011,NE,2.08,2.07,D
"Raser Technologies, Inc.",2011,DE,41.84,107.78,D
RCLC Inc.,2011,NJ,16.37,10.37,D
Regen Biologics Inc.,2011,DE,1.5,5.21,D
"ReoStar Energy Corp., et al.",2011,TX,21.03,15.54,ND
"RHI Entertainment, Inc.",2011,NY,524.72,834.09,SD
Riviera Holdings Corporation,2011,NV,12.45,270.0,D
"Seahawk Drilling, Inc. et al.",2011,TX,505.0,124.0,SD
"Shegda Tech, Inc.",2011,NV,295.43,180.86,D
Solyndra LLC,2011,DE,859.0,749.0,D
"Star Buffett, Inc.",2011,AZ,1.06,12.17,D
"Tel Tronics, Inc.",2011,FL,10.25,19.14,MD
Tetragenex Pharmaceuticals Inc.,2011,NY,133.03,3.75,ED
"The Great Atlantic & Pacific Tea Company, Inc.",2011,NY,2531.03,3210.97,SD
"Transdel Pharmaceuticals, Inc.",2011,CA,2.0,2.0,SD
"Trico Marine Services, Inc.",2011,DE,31.0,354.0,D
Vaso Active Pharmaceuticals,2011,DE,645.0,10.19,D
Visual Management Systems,2011,NJ,273.0,12.25,D
"Waste2Energy Holdings, Inc.",2011,DE,6.0,17.0,D
Wolverine Tube Inc.,2011,DE,116.0,238.0,D
